Date,Visitor,AG,Home,HG
2018-10-20,Buffalo Sabres,5,Los Angeles Kings,1
2018-10-20,Tampa Bay Lightning,4,Minnesota Wild,5
2018-10-20,Montreal Canadiens,3,Ottawa Senators,4
2018-10-20,New Jersey Devils,2,Philadelphia Flyers,5
2018-10-20,New York Islanders,1,San Jose Sharks,4
2018-10-20,St. Louis Blues,4,Toronto Maple Leafs,1
2018-10-20,Boston Bruins,1,Vancouver Canucks,2
2018-10-20,Anaheim Ducks,1,Vegas Golden Knights,3
2018-10-20,Arizona Coyotes,3,Winnipeg Jets,5
2018-10-21,Buffalo Sabres,4,Anaheim Ducks,2
2018-10-21,Tampa Bay Lightning,6,Chicago Blackhawks,3
2018-10-21,Calgary Flames,4,New York Rangers,1
2018-10-22,Carolina Hurricanes,3,Detroit Red Wings,1
2018-10-22,Colorado Avalanche,4,Philadelphia Flyers,1
2018-10-22,Washington Capitals,5,Vancouver Canucks,2
2018-10-22,St. Louis Blues,4,Winnipeg Jets,5
2018-10-23,Arizona Coyotes,4,Columbus Blue Jackets,1
2018-10-23,Anaheim Ducks,1,Chicago Blackhawks,3
2018-10-23,Los Angeles Kings,2,Dallas Stars,4
2018-10-23,Pittsburgh Penguins,6,Edmonton Oilers,5
2018-10-23,Calgary Flames,2,Montreal Canadiens,3
2018-10-23,San Jose Sharks,5,Nashville Predators,4
2018-10-23,Florida Panthers,2,New York Rangers,5
2018-10-23,Boston Bruins,4,Ottawa Senators,1
2018-10-24,Tampa Bay Lightning,1,Colorado Avalanche,0
2018-10-24,Florida Panthers,3,New York Islanders,2
2018-10-24,Vancouver Canucks,3,Vegas Golden Knights,2
2018-10-24,Toronto Maple Leafs,4,Winnipeg Jets,2
2018-10-25,Vancouver Canucks,1,Arizona Coyotes,4
2018-10-25,Philadelphia Flyers,0,Boston Bruins,3
2018-10-25,Montreal Canadiens,3,Buffalo Sabres,4
2018-10-25,Pittsburgh Penguins,9,Calgary Flames,1
2018-10-25,New York Rangers,1,Chicago Blackhawks,4
2018-10-25,Anaheim Ducks,2,Dallas Stars,5
2018-10-25,Washington Capitals,1,Edmonton Oilers,4
2018-10-25,Los Angeles Kings,1,Minnesota Wild,4
2018-10-25,Nashville Predators,4,New Jersey Devils,3
2018-10-25,Columbus Blue Jackets,7,St. Louis Blues,4
2018-10-26,San Jose Sharks,3,Carolina Hurricanes,4
2018-10-26,Ottawa Senators,3,Colorado Avalanche,6
2018-10-26,Winnipeg Jets,2,Detroit Red Wings,1
2018-10-26,Tampa Bay Lightning,3,Vegas Golden Knights,2
2018-10-27,Tampa Bay Lightning,1,Arizona Coyotes,7
2018-10-27,Montreal Canadiens,3,Boston Bruins,0
2018-10-27,Buffalo Sabres,4,Columbus Blue Jackets,5
2018-10-27,Washington Capitals,4,Calgary Flames,3
2018-10-27,Colorado Avalanche,2,Minnesota Wild,3
2018-10-27,Florida Panthers,2,New Jersey Devils,3
2018-10-27,Edmonton Oilers,5,Nashville Predators,3
2018-10-27,New York Islanders,6,Philadelphia Flyers,1
2018-10-27,Chicago Blackhawks,3,St. Louis Blues,7
2018-10-27,Winnipeg Jets,2,Toronto Maple Leafs,3
2018-10-27,Pittsburgh Penguins,5,Vancouver Canucks,0
2018-10-28,San Jose Sharks,4,Anaheim Ducks,3
2018-10-28,New York Islanders,2,Carolina Hurricanes,1
2018-10-28,Edmonton Oilers,2,Chicago Blackhawks,1
2018-10-28,Dallas Stars,2,Detroit Red Wings,4
2018-10-28,New York Rangers,3,Los Angeles Kings,4
2018-10-28,Ottawa Senators,3,Vegas Golden Knights,4
2018-10-29,Calgary Flames,3,Toronto Maple Leafs,1
2018-10-29,Minnesota Wild,2,Vancouver Canucks,5
2018-10-30,Philadelphia Flyers,3,Anaheim Ducks,2
2018-10-30,Ottawa Senators,1,Arizona Coyotes,5
2018-10-30,Calgary Flames,2,Buffalo Sabres,1
2018-10-30,Boston Bruins,3,Carolina Hurricanes,2
2018-10-30,Detroit Red Wings,5,Columbus Blue Jackets,3
2018-10-30,Minnesota Wild,4,Edmonton Oilers,3
2018-10-30,Dallas Stars,4,Montreal Canadiens,1
2018-10-30,Vegas Golden Knights,1,Nashville Predators,4
2018-10-30,New York Islanders,6,Pittsburgh Penguins,3
2018-10-30,New York Rangers,4,San Jose Sharks,3
2018-10-30,New Jersey Devils,3,Tampa Bay Lightning,8
2018-10-31,Chicago Blackhawks,2,Vancouver Canucks,4
2018-11-01,New York Rangers,3,Anaheim Ducks,2
2018-11-01,Colorado Avalanche,5,Calgary Flames,6
2018-11-01,New Jersey Devils,3,Detroit Red Wings,4
2018-11-01,Chicago Blackhawks,0,Edmonton Oilers,4
2018-11-01,Winnipeg Jets,4,Florida Panthers,2
2018-11-01,Philadelphia Flyers,5,Los Angeles Kings,2
2018-11-01,Washington Capitals,4,Montreal Canadiens,6
2018-11-01,Pittsburgh Penguins,2,New York Islanders,3
2018-11-01,Buffalo Sabres,2,Ottawa Senators,4
2018-11-01,Columbus Blue Jackets,4,San Jose Sharks,1
2018-11-01,Vegas Golden Knights,3,St. Louis Blues,5
2018-11-01,Nashville Predators,4,Tampa Bay Lightning,1
